HGNC ID	Approved symbol	Approved name
HGNC:5	A1BG	alpha-1-B glycoprotein
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1
HGNC:24086	A1CF	APOBEC1 complementation factor
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1
HGNC:7	A2M	alpha-2-macroglobulin
HGNC:27057	A2M-AS1	A2M antisense RNA 1
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
HGNC:1	A12M1~withdrawn	entry withdrawn
HGNC:2	A12M2~withdrawn	entry withdrawn
HGNC:3	A12M3~withdrawn	entry withdrawn
HGNC:4	A12M4~withdrawn	entry withdrawn
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1
HGNC:13666	AAAS	aladin WD repeat nucleoporin
HGNC:12	AABT~withdrawn	entry withdrawn
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2
HGNC:21298	AACS	acetoacetyl-CoA synthetase
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3
HGNC:17	AADAC	arylacetamide deacetylase
HGNC:24427	AADACL2	arylacetamide deacetylase like 2
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1
HGNC:32037	AADACL3	arylacetamide deacetylase like 3
HGNC:32038	AADACL4	arylacetamide deacetylase like 4
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1
HGNC:17929	AADAT	aminoadipate aminotransferase
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein
HGNC:19679	AAK1	AP2 associated kinase 1
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing
HGNC:18	AAMP	angio associated migratory cell protein
HGNC:19	AANAT	aralkylamine N-acetyltransferase
HGNC:15886	AAR2	AAR2 splicing factor
HGNC:33842	AARD	alanine and arginine rich domain containing protein
HGNC:20	AARS	alanyl-tRNA synthetase
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
HGNC:17366	AASS	aminoadipate-semialdehyde synthase
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer
HGNC:19235	AATF	apoptosis antagonizing transcription factor
HGNC:21	AATK	apoptosis associated tyrosine kinase
HGNC:22	AAVS1	adeno-associated virus integration site 1
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA
HGNC:23	ABAT	4-aminobutyrate aminotransferase
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4
HGNC:17553	ABHD1	abhydrolase domain containing 1
HGNC:18717	ABHD2	abhydrolase domain containing 2
HGNC:18718	ABHD3	abhydrolase domain containing 3
HGNC:20154	ABHD4	abhydrolase domain containing 4
HGNC:21396	ABHD5	abhydrolase domain containing 5
HGNC:21398	ABHD6	abhydrolase domain containing 6
HGNC:23759	ABHD8	abhydrolase domain containing 8
HGNC:25656	ABHD10	abhydrolase domain containing 10
HGNC:16407	ABHD11	abhydrolase domain containing 11
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn
HGNC:15868	ABHD12	abhydrolase domain containing 12
HGNC:19837	ABHD12B	abhydrolase domain containing 12B
HGNC:20293	ABHD13	abhydrolase domain containing 13
HGNC:24538	ABHD14A	abhydrolase domain containing 14A
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough
HGNC:28235	ABHD14B	abhydrolase domain containing 14B
HGNC:26971	ABHD15	abhydrolase domain containing 15
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1
HGNC:13921	ABHD16A	abhydrolase domain containing 16A
HGNC:16128	ABHD16B	abhydrolase domain containing 16B
HGNC:28756	ABHD17A	abhydrolase domain containing 17A
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8
